,channelGrouping,device.browser,device.deviceCategory,device.operatingSystem,trafficSource.medium,device.isMobile,weekend_prop,hour,totals.hits.log,totals.pageviews.log,bounce_prop
93,Direct,Chrome,desktop,Windows,(none),0,0.0,15.0,3.332204510175204,3.258096538021482,0.0
94,Direct,Chrome,desktop,Chrome OS,(none),0,0.0,16.0,2.1972245773362196,2.0794415416798357,0.0
95,Referral,Chrome,desktop,Windows,referral,0,0.0,14.0,3.044522437723423,2.9444389791664403,0.0
96,Organic Search,Internet Explorer,desktop,Windows,organic,0,0.0,18.5,2.833213344056216,2.6741486494265287,0.0
97,Direct,Chrome,mobile,Android,(none),1,0.0,9.0,2.302585092994046,2.302585092994046,0.5
98,Organic Search,Firefox,desktop,Windows,organic,0,0.0,15.5,2.0149030205422647,1.791759469228055,0.0
99,Direct,Chrome,desktop,Chrome OS,(none),0,0.0,18.0,2.1972245773362196,2.1972245773362196,0.0
100,Referral,Chrome,desktop,Macintosh,referral,0,0.0,5.0,3.58351893845611,2.995732273553991,0.0
101,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,18.0,1.6094379124341003,1.6094379124341003,0.0
102,Referral,Chrome,desktop,Windows,referral,0,0.0,20.0,4.7535901911063645,4.499809670330265,0.0
103,Referral,Chrome,desktop,Macintosh,referral,0,0.5,10.5,3.044522437723423,2.70805020110221,0.0
104,Organic Search,Chrome,desktop,Linux,organic,0,0.0,18.0,3.1354942159291497,2.8903717578961645,0.0
105,Direct,Chrome,desktop,Windows,(none),0,0.0,19.5,2.3513752571634776,2.2512917986064953,0.5
106,Referral,Chrome,desktop,Macintosh,referral,0,0.0,17.0,3.332204510175204,3.1354942159291497,0.0
107,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,16.0,3.091042453358316,2.8903717578961645,0.0
108,Referral,Chrome,desktop,Macintosh,referral,0,0.0,23.0,3.713572066704308,3.5263605246161616,0.0
109,Organic Search,Firefox,desktop,Windows,organic,0,0.0,17.5,3.56953269648137,3.449987545831587,0.5
110,Referral,Chrome,desktop,Macintosh,referral,0,1.0,23.0,2.4849066497880004,2.4849066497880004,0.0
111,Referral,Chrome,desktop,Macintosh,referral,0,0.25,2.0,2.4423470353692043,2.0794415416798357,0.0
112,Referral,Chrome,desktop,Macintosh,referral,0,0.1666666666666666,16.0,2.1972245773362196,2.0149030205422647,0.0
113,Referral,Chrome,desktop,Macintosh,referral,0,0.0,15.5,2.1972245773362196,2.1400661634962708,0.25
114,Referral,Chrome,desktop,Chrome OS,referral,0,0.3333333333333333,15.0,2.6390573296152584,2.1972245773362196,0.0
115,Organic Search,Chrome,desktop,Windows,organic,0,0.0,19.0,3.1354942159291497,3.044522437723423,0.0
116,Direct,Chrome,desktop,Windows,(none),0,0.0,20.0,3.7376696182833684,3.4657359027997265,0.0
117,Organic Search,Chrome,desktop,Macintosh,organic,0,1.0,0.0,2.70805020110221,2.4849066497880004,0.0
118,Paid Search,Chrome,desktop,Macintosh,cpc,0,0.0,8.5,2.1400661634962708,2.0794415416798357,0.0
119,Direct,Chrome,desktop,Macintosh,(none),0,0.5,16.0,2.3978952727983707,2.3513752571634776,0.0
120,Referral,Chrome,desktop,Macintosh,referral,0,1.0,6.5,3.0204248861443626,2.833213344056216,0.0
121,Referral,Chrome,desktop,Macintosh,referral,0,0.25,18.5,1.9459101490553132,1.791759469228055,0.25
122,Organic Search,Chrome,desktop,Chrome OS,organic,0,0.3333333333333333,22.0,3.367295829986474,3.091042453358316,0.0
123,Direct,Chrome,desktop,Windows,(none),0,0.0,19.0,3.0204248861443626,2.772588722239781,0.0
124,Referral,Chrome,desktop,Chrome OS,referral,0,0.0,14.0,4.477336814478207,4.174387269895637,0.0
125,Direct,Chrome,desktop,Macintosh,(none),0,0.0,17.0,2.6390573296152584,2.6390573296152584,0.2
126,Paid Search,Chrome,desktop,Macintosh,cpc,0,0.0,15.0,1.6094379124341003,1.6094379124341003,0.0
127,Referral,Chrome,desktop,Macintosh,referral,0,0.6666666666666666,17.0,2.0794415416798357,2.0794415416798357,0.0
128,Referral,Chrome,desktop,Linux,referral,0,0.0,19.0,3.044522437723423,2.833213344056216,0.0
129,Paid Search,Chrome,desktop,Macintosh,cpc,0,0.0,6.0,3.6375861597263857,3.4011973816621555,0.0
130,Referral,Chrome,desktop,Macintosh,referral,0,0.0,0.0,4.04305126783455,3.5263605246161616,0.0
131,Referral,Chrome,desktop,Macintosh,referral,0,0.0,18.5,2.740840023925201,2.5257286443082556,0.0
132,Direct,Chrome,desktop,Windows,(none),0,0.0,16.0,3.2188758248682006,2.995732273553991,0.0
133,Referral,Chrome,desktop,Macintosh,referral,0,0.0,20.5,3.332204510175204,2.917770732084279,0.0
134,Direct,Chrome,desktop,Macintosh,(none),0,0.0,16.0,2.8622008809294686,2.6390573296152584,0.0
135,Referral,Chrome,desktop,Linux,referral,0,0.0,15.5,2.1972245773362196,2.0149030205422647,0.0
136,Referral,Chrome,desktop,Linux,referral,0,0.0,21.0,3.8918202981106265,3.713572066704308,0.0
137,Referral,Chrome,desktop,Macintosh,referral,0,0.3333333333333333,3.0,2.772588722239781,2.6390573296152584,0.0
138,Organic Search,Chrome,desktop,Macintosh,organic,0,1.0,15.0,3.4965075614664802,3.367295829986474,0.0
139,Direct,Chrome,desktop,Windows,(none),0,0.0,18.0,1.7047480922384253,1.5040773967762742,0.5
140,Organic Search,Firefox,desktop,Windows,organic,0,0.0,21.0,2.6026896854443837,2.4423470353692043,0.5
141,Referral,Chrome,desktop,Macintosh,referral,0,0.0,8.5,2.833213344056216,2.5649493574615367,0.0
142,Referral,Chrome,desktop,Macintosh,referral,0,0.0,22.0,3.332204510175204,3.044522437723423,0.0
143,Organic Search,Chrome,desktop,Windows,organic,0,0.5,19.0,3.8066624897703196,3.5553480614894135,0.0
144,Paid Search,Chrome,desktop,Macintosh,cpc,0,0.0,17.0,2.8903717578961645,2.772588722239781,0.0
145,Organic Search,Chrome,desktop,Windows,organic,0,0.0,0.0,3.1780538303479458,2.995732273553991,0.0
146,Direct,Chrome,desktop,Macintosh,(none),0,0.0,19.0,3.2386784521643803,3.044522437723423,0.0
147,Paid Search,Opera,desktop,Windows,cpc,0,0.0,0.0,4.812184355372417,4.532599493153256,0.0
148,Direct,Chrome,desktop,Windows,(none),0,0.0,9.0,1.791759469228055,1.791759469228055,0.0
149,Referral,Chrome,desktop,Macintosh,referral,0,1.0,17.0,3.332204510175204,3.044522437723423,0.0
150,Referral,Chrome,desktop,Macintosh,referral,0,0.5,2.0,2.6741486494265287,2.4849066497880004,0.0
151,Organic Search,Safari,mobile,iOS,organic,1,1.0,3.0,3.8066624897703196,3.5263605246161616,0.0
152,Direct,Chrome,mobile,iOS,(none),1,0.0,4.0,0.0,0.0,0.6666666666666666
153,Referral,Chrome,desktop,Macintosh,referral,0,1.0,3.0,2.6741486494265287,2.5649493574615367,0.0
154,Direct,Chrome,desktop,Macintosh,(none),0,0.0,14.0,3.4339872044851463,3.1354942159291497,0.0
155,Referral,Chrome,desktop,Linux,referral,0,0.0,17.0,1.252762968495368,1.252762968495368,0.0
156,Referral,Chrome,desktop,Macintosh,referral,0,0.0,20.0,3.1780538303479458,3.044522437723423,0.0
157,Organic Search,Chrome,desktop,Chrome OS,organic,0,0.0,22.0,2.772588722239781,2.6390573296152584,0.0
158,Organic Search,Chrome,desktop,Windows,organic,0,0.0,20.0,1.791759469228055,1.791759469228055,0.3333333333333333
159,Direct,Safari,mobile,iOS,(none),1,0.0,12.0,3.828641396489095,3.7376696182833684,0.0
160,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,14.5,2.302585092994046,2.302585092994046,0.0
161,Referral,Chrome,desktop,Macintosh,referral,0,0.0,16.0,2.1972245773362196,1.6094379124341003,0.3333333333333333
162,Organic Search,Internet Explorer,desktop,Windows,organic,0,0.0,13.0,2.5649493574615367,2.3978952727983707,0.0
163,Referral,Chrome,desktop,Linux,referral,0,0.0,19.0,3.4011973816621555,3.1570004211501135,0.0
164,Display,Chrome,desktop,Macintosh,cpm,0,0.0,19.0,2.2512917986064953,2.1400661634962708,0.0
165,Organic Search,Chrome,desktop,Windows,organic,0,0.0,18.0,3.6635616461296463,3.4011973816621555,0.0
166,Referral,Chrome,desktop,Macintosh,referral,0,0.3333333333333333,19.0,2.3978952727983707,2.3978952727983707,0.3333333333333333
167,Direct,Chrome,desktop,Windows,(none),0,0.0,11.0,2.6741486494265287,2.4423470353692043,0.5
168,Referral,Chrome,desktop,Macintosh,referral,0,0.0,17.0,2.302585092994046,2.1972245773362196,0.0
169,Organic Search,Chrome,desktop,Macintosh,organic,0,1.0,22.0,3.8066624897703196,3.58351893845611,0.0
170,Direct,Chrome,desktop,Macintosh,(none),0,0.0,17.0,2.772588722239781,2.3978952727983707,0.3333333333333333
171,Organic Search,Chrome,desktop,Macintosh,organic,0,1.0,23.0,3.8918202981106265,3.5553480614894135,0.0
172,Organic Search,Chrome,desktop,Windows,organic,0,0.0,14.5,3.7013019741124933,3.367295829986474,0.0
173,Organic Search,Chrome,desktop,Windows,organic,0,0.0,17.0,4.143134726391533,3.9512437185814275,0.0
174,Organic Search,Chrome,desktop,Windows,organic,0,0.5,22.5,2.1400661634962708,2.0794415416798357,0.0
175,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,20.0,1.0986122886681098,0.6931471805599453,0.4285714285714285
176,Referral,Chrome,desktop,Macintosh,referral,0,0.0,21.5,3.1570004211501135,2.917770732084279,0.0
177,Referral,Chrome,desktop,Macintosh,referral,0,0.0,15.0,3.349904087274605,3.1570004211501135,0.0
178,Direct,Chrome,desktop,Macintosh,(none),0,0.0,18.0,1.8718021769015913,1.7047480922384253,0.0
179,Referral,Chrome,desktop,Macintosh,referral,0,0.0,17.0,4.0943445622221,3.828641396489095,0.0
180,Referral,Chrome,desktop,Macintosh,referral,0,0.75,18.0,4.0163830207523885,3.676300671907076,0.25
181,Organic Search,Chrome,desktop,Macintosh,organic,0,0.3333333333333333,15.0,2.5649493574615367,2.302585092994046,0.3333333333333333
182,Referral,Chrome,desktop,Windows,referral,0,0.0,20.5,2.970414465569701,2.70805020110221,0.0
183,Organic Search,Chrome,desktop,Windows,organic,0,0.0,12.5,2.302585092994046,2.302585092994046,0.25
184,Direct,Edge,desktop,Windows,(none),0,0.0,3.0,2.8903717578961645,2.833213344056216,0.5
185,Direct,Chrome,desktop,Chrome OS,(none),0,0.375,15.5,3.1135153092103742,2.9444389791664403,0.375
186,Referral,Chrome,desktop,Windows,referral,0,0.3333333333333333,18.0,1.5040773967762742,1.3862943611198906,0.0
187,Organic Search,Chrome,mobile,Android,organic,1,0.0,11.0,3.4339872044851463,3.367295829986474,0.0
188,Organic Search,Chrome,desktop,Windows,organic,0,0.0,23.0,3.2188758248682006,2.8903717578961645,0.0
189,Referral,Chrome,desktop,Macintosh,referral,0,0.6666666666666666,16.0,1.3862943611198906,1.3862943611198906,0.3333333333333333
190,Organic Search,Safari,mobile,iOS,organic,1,0.5,4.0,1.0986122886681098,0.6931471805599453,0.5
191,Referral,Chrome,desktop,Macintosh,referral,0,0.0,20.5,1.5040773967762742,1.5040773967762742,0.3333333333333333
192,Organic Search,Chrome,desktop,Windows,organic,0,0.3333333333333333,14.0,3.4011973816621555,3.1780538303479458,0.0
193,Referral,Chrome,desktop,Chrome OS,referral,0,0.6666666666666666,20.0,1.3862943611198906,1.3862943611198906,0.0
194,Organic Search,Chrome,desktop,Macintosh,organic,0,0.5,16.5,1.7047480922384253,1.3862943611198906,0.3333333333333333
195,Direct,Chrome,desktop,Windows,(none),0,0.0,15.0,4.110873864173311,3.828641396489095,0.0
196,Display,Safari,desktop,Macintosh,cpm,0,0.0,18.0,1.9459101490553132,1.791759469228055,0.1428571428571428
197,Referral,Chrome,desktop,Windows,referral,0,0.0,14.0,4.418840607796598,4.04305126783455,0.0
198,Referral,Chrome,desktop,Macintosh,referral,0,0.0,3.0,2.4849066497880004,2.1972245773362196,0.0
199,Social,Chrome,desktop,Chrome OS,referral,0,0.0,19.0,3.1354942159291497,2.833213344056216,0.0
200,Referral,Chrome,desktop,Linux,referral,0,0.5,18.5,3.295836866004329,2.4849066497880004,0.0
201,Organic Search,Chrome,desktop,Windows,organic,0,0.0,4.0,1.6094379124341003,1.6094379124341003,0.0
202,Organic Search,Safari,desktop,Macintosh,organic,0,0.3333333333333333,17.5,0.9162907318741551,0.6931471805599453,0.5
203,Referral,Chrome,desktop,Macintosh,referral,0,0.0,17.0,3.7612001156935624,3.5263605246161616,0.0
204,Display,Chrome,desktop,Windows,cpm,0,0.1538461538461538,11.0,0.6931471805599453,0.6931471805599453,0.3076923076923077
205,Paid Search,Chrome,desktop,Macintosh,cpc,0,0.0,15.0,2.9444389791664403,2.9444389791664403,0.0
206,Organic Search,Safari,mobile,iOS,organic,1,0.0,1.0,4.07753744390572,3.912023005428146,0.0
207,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,3.5,3.295836866004329,2.995732273553991,0.0
208,Referral,Chrome,desktop,Macintosh,referral,0,0.0,10.5,2.6026896854443837,2.3978952727983707,0.0
209,Referral,Chrome,desktop,Macintosh,referral,0,0.0,16.5,3.4011973816621555,3.091042453358316,0.0
210,Referral,Chrome,desktop,Macintosh,referral,0,0.0,19.5,2.1972245773362196,2.0149030205422647,0.0
211,Paid Search,Firefox,desktop,Macintosh,cpc,0,0.0,19.5,2.772588722239781,2.6741486494265287,0.0
212,Organic Search,Chrome,desktop,Linux,organic,0,0.0,21.0,1.0986122886681098,1.0986122886681098,0.0
213,Referral,Chrome,desktop,Macintosh,referral,0,0.0,16.0,3.367295829986474,3.2188758248682006,0.3333333333333333
214,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,17.0,2.70805020110221,2.70805020110221,0.3333333333333333
215,Paid Search,Chrome,desktop,Macintosh,cpc,0,0.75,18.5,2.740840023925201,2.4849066497880004,0.0
216,Direct,Chrome,desktop,Macintosh,(none),0,0.0,20.0,2.302585092994046,2.302585092994046,0.0
217,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,18.0,3.295836866004329,2.8903717578961645,0.0
218,Referral,Chrome,desktop,Macintosh,referral,0,0.0,7.5,3.1986731175506815,2.8903717578961645,0.5
219,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,11.0,2.1400661634962708,2.0149030205422647,0.0
220,Direct,Chrome,desktop,Macintosh,(none),0,0.0,18.0,1.791759469228055,1.3862943611198906,0.2857142857142857
221,Referral,Chrome,desktop,Macintosh,referral,0,0.0,16.5,3.0204248861443626,2.70805020110221,0.5
222,Referral,Chrome,desktop,Macintosh,referral,0,0.0,20.0,3.676300671907076,3.295836866004329,0.0
223,Referral,Chrome,desktop,Macintosh,referral,0,0.0,21.0,2.6390573296152584,2.4849066497880004,0.0
224,Referral,Chrome,desktop,Macintosh,referral,0,0.0,16.0,2.6741486494265287,2.5257286443082556,0.0
225,Referral,Chrome,desktop,Macintosh,referral,0,0.0,17.0,4.330733340286331,3.4965075614664802,0.0
226,Referral,Chrome,desktop,Chrome OS,referral,0,0.0,18.0,1.6094379124341003,1.6094379124341003,0.2
227,Direct,Chrome,desktop,Windows,(none),0,0.0909090909090909,16.0,2.772588722239781,2.4849066497880004,0.0909090909090909
228,Organic Search,Safari,desktop,Macintosh,organic,0,0.0,21.0,3.2188758248682006,2.8903717578961645,0.0
229,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,16.0,3.258096538021482,2.9444389791664403,0.0
230,Referral,Chrome,desktop,Chrome OS,referral,0,0.0,10.0,2.1972245773362196,2.1972245773362196,0.0
231,Referral,Chrome,desktop,Macintosh,referral,0,0.0,19.5,2.3513752571634776,2.1400661634962708,0.1666666666666666
232,Organic Search,Chrome,tablet,iOS,organic,1,0.0,4.0,3.871201010907891,2.995732273553991,0.5
233,Organic Search,Chrome,desktop,Chrome OS,organic,0,0.0,16.0,1.3862943611198906,1.3862943611198906,0.2
234,Direct,Chrome,desktop,Macintosh,(none),0,0.0,6.0,2.4849066497880004,2.4849066497880004,0.0
235,Referral,Chrome,desktop,Linux,referral,0,0.0,15.0,0.0,0.0,0.6
236,Display,Chrome,desktop,Macintosh,cpm,0,0.0,17.0,2.5649493574615367,2.2512917986064953,0.0
237,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,17.0,2.3513752571634776,2.0794415416798357,0.0
238,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,14.0,4.189654742026425,3.8066624897703196,0.0
239,Paid Search,Chrome,desktop,Chrome OS,cpc,0,0.0,2.0,3.1780538303479458,3.091042453358316,0.0
240,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,15.0,3.1354942159291497,2.9444389791664403,0.0
241,Display,Chrome,desktop,Macintosh,cpm,0,0.0,14.0,3.784189633918261,3.58351893845611,0.0
242,Referral,Chrome,desktop,Linux,referral,0,0.0,19.0,1.3862943611198906,0.6931471805599453,0.2
243,Referral,Chrome,desktop,Macintosh,referral,0,0.0,21.0,3.1354942159291497,2.995732273553991,0.0
244,Referral,Chrome,desktop,Windows,referral,0,0.0,2.0,0.6931471805599453,0.6931471805599453,0.2857142857142857
245,Organic Search,Chrome,desktop,Macintosh,organic,0,0.0,5.0,3.1354942159291497,2.970414465569701,0.25
